deliberate|adj.深思熟虑的；故意的；从容不迫的; v.仔细考虑；研讨
mingle|vt.使混合；使结合; vi.交往；联合；混在一起
ten|num.十
delegate|n.代表; v.派...为代表；委派；授权；委托
kidney|n.肾；腰子；类型
installment|n.分期付款；部分；分册; n.安装；安置
ponder|v.沉思；考虑
preach|vt.讲道；说教; vi.传道；训诫
reckon|v.计算；认为；估计
EDI|abbr.电子数据交换; (=ElectronicDataInterchange).
bl|abbr.桶（=barrel）; abbr.灾祸（=bale）; abbr.黑（=black）; abbr.蓝（=blue）; abbr.块（=block）; BL.; abbr.文学学士（=bachelorofletters）; abbr.提货单（billoflading）
unfold|v.展开；开放；显露
recycle|vt.再利用；使再循环；再制; vi.循环; n.再循环
ripple|n.涟漪；波纹；潺潺声；粗钢梳; v.使起涟漪；使起波纹；使发出潺潺声；起伏；轻轻荡漾
Strein|施特赖因
fusion|n.融合；结合；熔合；核聚变
intrigue|vt.欺骗；激起...的兴趣; vi.密谋; n.阴谋；私通；复杂的事
ti|n.[植]铁树；[音乐]全音阶的第七音; Ti.; abbr.元素钛的符号
solo|n.独奏；独唱; adj.单独的; adv.单独地; v.单独表演；[空]放单飞(飞行员一个人开飞机,无教练陪同)
dubious|adj.怀疑的；可疑的；不确定的
INDIG|因迪格
affiliate|n.分公司；附属机构; vt.使隶属于；接纳；追溯; vi.发生联系
BA|abbr.(=bachelorofarts)文学士; abbr.(=battingaverage)击球率; abbr.(=BuenosAires)布宜诺斯艾利斯; abbr.[国家域名]波黑（=BosniaandHerzegovina）
mou|n.亩
robust|adj.强健的；稳固的；耐用的；粗野的；浓的
lunar|adj.月亮的；阴历的；银的
spectacle|n.景象；场面；奇观；壮观；公开展示；表相，假相; n.（复）眼镜
instantaneous|adj.瞬间的；即刻的
integrate|v.整合；结合；取消隔离；求积分; adj.完整的；组合的
lame|adj.无说服力的；跛足的; vt.使...成残废; n.金属薄板
tentative|adj.不确定的；暂时的；试验性质的；犹豫不决的
intimidate|vt.胁迫；威胁；恐吓
splash|n.溅泼（声）；溅泼的量；溅污的斑点；骚动；少许; v.溅（湿）；报道
persistent|adj.坚持的；连续的；固执的
formidable|adj.强大的；可怕的；难对付的
constrain|vt.强迫；限制
Plai|普拉伊
rei|n.(reis的单数)里斯(葡萄牙及巴西的旧货币单位)
aerial|adj.空中的；空气的；航空的；空想的; n.天线
originate|v.发起；开始；起源于；[计算机]起始
Liti|利蒂
SW|abbr.盐水(=saltwater); abbr.西南的（=Southwest）
Kt|abbr.千吨(=kiloton)
IM|abbr.脉冲调制（=impulsemodulation); abbr.感应电动机（=InductionMotor)
MIS|abbr.管理信息系统(=ManagementInformationSystem)
SM|abbr.(=masterofscience；sergeantmajor；servicemark；stagemanager；stationmaster；small)理学学士；士兵勋章；舞台策划；小的
buffer|n.缓冲；(火车头尾或轨道末端的)缓冲器；[计算机]缓存区；老朽; v.缓冲；减轻；[计]缓存
irrespective|adj.不顾的；不考虑的
postulate|n.假定；基本条件; vt.要求；假定
startle|v.（使）吃惊；（使）惊愕; n.吃惊；惊恐
endow|vt.捐助；赋予；使具有某种品质
za|n.披萨饼；意大利饼; abbr.南非(=SouthAfrica)
fist|n.拳头; vt.紧握；用拳头打
elicit|vt.引出；诱出；探出
timid|adj.胆怯的；害羞的
Idi|n.伊迪
en|n.半方；N字; prep.作为；一起；在...中
stereotype|n.模式化观念；典型；老一套；铅版; v.对…形成模式化的看法；使用铅版
literal|adj.逐字的；字面上的；文字的; n.错误字体
sin|n.原罪; v.犯罪；违反(教规)
dock|n.码头；船坞；船埠; v.进(港、码头)
corrode|v.腐蚀；侵蚀；损害
uphold|v.支持；维护；维持；举起
discount|n.折扣；贴现率; vt.打折扣；贴现；不全信；不重视; vi.贴现；减息贷款
divine|adj.神圣的；神的; vt.推断; vi.预言；理解; n.牧师；神学家
Prai|n.新路头(布莱)(在马来西亚；东经100&#186;23'北纬5&#186;23')
compact|adj.紧密的；紧凑的；简洁的; vt.使简洁；使装满；压实; n.合约条约；梳妆粉盒；小型汽车
slack|adj.松弛的；懈怠的；萧条的; n.松弛的部分；松散；淡季; vt.使缓慢；疏忽; vi.变松弛；逃避工作
shaft|n.柄；竖井；杆状物；矛；轴；（一道）光线; vt.苛刻地对待；装杆于
diffuse|vt.扩散；散开；传播; vi.弥漫；扩散; adj.冗长的；四散的
sector|n.部门；部分；区域; n.[计]扇形；扇区; vt.使分成部分
pest|n.害虫；讨厌的人
naive|adj.天真的；幼稚的
drawback|n.缺点；退税；退款；不利条件；弊
slot|n.狭缝；槽；投币口；时间段；职位；（鹿的）足迹; v.插入；留细长的孔；放置
Rez|雷兹
Fiti|菲蒂
geology|n.地质学；（某地区的）地质情况；地质学的著作
Nisip|尼西普
adverse|adj.不利的；逆向的；有害的
DJ|abbr.(广播电台)流行音乐播音员；流行音乐节目主持人(discjockey)
fitting|adj.合适的；恰当的; n.试穿；配件；装配; 动词fit的现在分词和动名词形式.
decimal|adj.小数的；十进位的; n.小数
watt|n.瓦特
temperament|n.气质；性情
supervise|vt.监督；管理；指导
patriotic|adj.爱国的
cradle|n.摇篮；发祥地；支架; v.怀抱
confer|v.商讨；授予，赐予
terrain|n.地带；地形
brutal|adj.野蛮的；残暴的
pension|n.养老金；退休金；抚恤金；年金；（欧洲等地的）私人小旅店; v.发退休金
vocational|adj.职业的
ail|v.使...苦恼；苦恼；生病; n.小病
scandal|n.丑闻；反感；耻辱；中伤
guardian|n.保护人；监护人
clasp|n.扣子；钩；紧握；握手; v.扣紧；紧握；密切合作
ferry|n.渡船；渡口; vt.摆渡；运输; vi.摆渡
sth|abbr.某事；某物(=something)
minimize|v.将...减到最少；贬低
foil|n.钝头剑；箔；陪衬物；（击剑运动用的）花剑; vt.挫败；击退；阻挠
AIV|(=anteriorinterventricularsulcus)前室间沟
offence|n.犯罪；过错；攻击，冒犯；令人讨厌的事物
slim|adj.苗条的；微小的；细长的; v.减肥；缩减
prose|adj.散文的; n.散文
queer|adj.古怪的；奇怪的；可疑的；同性恋的; n.同性恋者; vt.把...弄糟；使陷入不利
UN|abbr.(=UnitedNations)联合国; pron.人，事物，家伙，东西
clinic|n.诊所；门诊部；科室
successor|n.接班人；继任人
myth|n.神话；虚构的故事
Min|abbr.部长(=Minister); 部(=Ministry).; 分钟(=minute).; 最少；极少（=minimum).
Riti|里蒂
merge|v.合并；融合；兼并
displace|v.取代；移置；替换
automation|n.自动化
spatial|adj.空间的
rid|vt.摆脱；除去
Rezi|赖齐
curt|adj.(言语)简短失礼的；简短的；草率的
identification|n.确认；鉴定；识别；身份的证明
tug|n.用力拉；拖船; v.用力拉
arch|n.拱；拱门；拱状物; v.成拱形；拱起; adj.主要的；调皮的
pastime|n.消遣；娱乐
economics|n.经济学
impair|vt.损害；削弱; [计算机]损伤.
heal|vt.治愈；使恢复健康；使和解; vi.痊愈
shipment|n.装运；货物；装船；出货
thermal|adj.热的；热量的；保热的; n.上升的热气流
prototype|n.原型；范例；雏形
abolish|vt.废除；革除；消灭
degenerate|v.退化；堕落; adj.堕落的；退化的; n.堕落的人
extract|vt.摘录；提取；拔出；榨出；选取; [计算机]提取.; n.摘录；精华；榨出物
proposition|n.提议；事业；命题; vt.向...调情
FML|n.浮点乘
gracious|adj.亲切的；高尚的；仁慈的；和蔼的；优雅的
incidentally|adv.附带地；偶然地；顺便地
rein|n.缰绳；驾驭；控制; vt.控制；驾驭; vi.驾驭
RIS|abbr.远程安装服务(=RemoteInstallationService); abbr.放射信息系统(=RadiologyInformationSystem)
spectrum|n.系列；幅度；范围；光谱；[科]频谱
formulate|v.用公式表示；系统地阐述；规划；制订
beforehand|adv.预先；事先；提前
reconcile|v.调和；和解；妥协；一致
violate|v.侵犯；违反；扰乱；亵渎；强奸
profile|n.侧面；轮廓；形象；简介; v.描绘...轮廓；评论人物
enrich|vt.使富足；使肥沃；使丰富
GA|n.镓(元素gallium的符号); abbr.总代理人（=GeneralAgent）
warfare|n.战争；冲突
option|n.选择权；可选物; v.得到或获准进行选择
epoch|n.时期；时代；新纪元；划时代的大事；世
rectangular|adj.矩形的；长方形的；直角的
thrill|n.激动；引起激动的事物；震颤（医学）; v.(使)激动；感到紧张
Krai|克赖
prone|adj.易于...的；有...倾向的；俯卧的
proclaim|vt.正式宣布；声明；表明；赞扬
whereby|adv.凭借
straightforward|adj.易懂的；笔直的；坦率的
cereal|n.麦片粥；谷类食物; adj.谷类的；谷物的
reign|n.君主统治；在位期; v.统治；支配
inject|v.注射；注入；引入；插入
garbage|n.垃圾；废物；食物残渣
vicinity|n.邻近；周边地区
sponge|n.海绵; vt.用海绵擦拭；吸收掉；抹掉
feminine|adj.女性的；[语]阴性的
kei|重要派生词为:city,civic,civil,cemetery
silicon|n.硅
scrap|n.碎片；废品；少许；瘦小的人；争斗；打架; v.报废；舍弃；打架
appreciable|adj.可感知的；可评估的；很可观的
betray|vt.背叛；出卖；泄露；显露
dignity|n.尊严；高贵；端庄
surpass|vt.超越；胜过
absurd|adj.荒唐的；可笑的；不合理的; n.荒唐
INL|n.入口(引入)
fabricate|v.编造；虚构；制造
resemblance|n.相像；相似
Laiz|莱斯
refute|vt.驳斥；反驳；驳倒
resonance|n.共鸣；共振；反响
MIDI|n.中长外衣; MIDI.; abbr.音乐设备数字接口(=musicalinstrumentdigitalinterface); n.法国南部的统称
contaminate|vt.弄脏；污染
imperial|adj.帝国的；皇帝的；特大的；英制的; n.皇帝；女皇；马车车顶；特大号
authoritative|adj.权威性的；命令式的
end|n.结束；末端；目标；死亡；部分；终点站；端点；半边球场；剩余物，残余；过世; v.终止，结束
equilibrium|n.平衡；均衡；平静
fit|adj.适宜的；合适的；健康的; v.适合；安装; n.发作；适宜
intent|adj.热切的；专心的；决心的; n.意图；目的；意向；含义
editorial|n.社论; adj.编辑的
assert|vt.断言；主张，坚持；生效；维护
inference|n.推理；推论；推断；结论
repay|v.偿还；报答；还钱给
converge|vi.聚合；集中；会聚; vt.使集合
empirical|adj.经验主义的；以观察或实验为根据的
Glaid|n.格莱德
attendant|adj.伴随的; n.服务员；出席者；伴随物；侍从
blaze|n.火焰；烈火；光辉；(光或色彩的)展现；(感情的)迸发；(动物面部的)白斑；记号; v.燃烧；发光；迸发；传播；在(树皮)上刻记号
context|n.上下文；环境；背景
oppress|v.使烦恼；压迫
missionary|n.传教士; adj.传教的
summit|n.顶点；最高阶层
periodical|n.期刊; adj.定期的
overflow|v.泛滥；溢出；充满；洋溢; n.泛滥；溢值；剩出
correlate|vt.使相互关联; vi.关联; n.相关物
spiral|n.螺旋；螺旋形之物；不断恶化、增加或减少; v.螺旋移动；盘旋上升；不断恶化、增加或减少; adj.螺旋形的；盘旋的
comedy|n.喜剧；滑稽；幽默事件
Neis|奈斯
sceptical|adj.怀疑的
blik|镀锡铁皮,马口铁,白铁皮
fuse|n.保险丝；导火线；引线; vt.熔化；融合；装导线；装引信于; vi.熔化；融合
Bles|n.布莱斯
incur|vt.招致；遭受；惹起
nickel|n.镍；镍币；五分镍币; vt.镀镍于
ES|abbr.电化学学会(=ElectrochemicalSociety)
acquisition|n.获得；所获之物；采集
unify|vt.使统一、使成为一体
fli|abbr.可播放的动画文件; =Flick(MotionVideoFormat).
allowance|n.零用钱；津贴；限额，定量；允许；折扣；考虑
charity|n.慈善；宽厚；慈善机关(团体)；仁慈
intervene|vi.干涉；干预；介入；调停；插入；阻挠
integrity|n.完整；完善；正直；诚实
Fizi|n.菲济(在扎伊尔；东经28&#186;56'南纬4&#186;18')
gai|n.伽
complication|n.复杂；并发症；纠纷
media|n.传播媒介；(medium的复数)媒体；新闻媒介
stride|n.大步走；一大步；步伐；进步; vt.跨；跨骑; vi.迈大步走；跨过；分腿站立
priority|n.优先权；优先；优先顺序
ZI|abbr.后方地带（=zoneofinterior）
productivity|n.生产率；生产力
compulsory|adj.强制的；势在必行的；义务的
conform|v.使一致；遵从
brisk|adj.敏锐的；活泼的；活跃的；轻快的；凛冽的; v.（使）轻快
trig|adj.漂亮的；整洁的；良好的; v.使整洁或漂亮; n.煞车
immerse|vt.浸；陷入
Draut|n.德劳特
chronic|adj.长期的；慢性的；惯常的
ample|adj.丰富的；宽敞的；充足的
descendant|n.后裔；子孙；后代
interim|adj.暂时的；临时的；中间的; n.中间时期；过渡时期；暂定
ren|n.[计算机]DOS命令:更改文件名（=rename）
blunt|adj.钝的；迟钝的；直率的; v.使迟钝；变钝
humidity|n.湿度；湿气
latent|adj.潜伏的；潜在的
LG|abbr.(飞机)起落架(=LandingGear); abbr.水平规；水准仪(=LevelGauge); abbr.近卫骑兵团(=LifeGuards)
Klip|克利普
racket|n.球拍; n.喧闹；敲诈；行业；职业; v.喧闹；花天酒地
Tisi|n.蒂齐
foresee|v.预见；预知
PR|abbr.(=publicrelation)公共关系
forthcoming|adj.即将到来的；现成的；乐意帮助的
inspiration|n.灵感；鼓舞人心(的东西)；吸气
solitary|adj.孤独的；独立的；单个的；唯一的；荒凉的; n.隐士；单独禁闭
NJ|abbr.新泽西(美国州名)(=NewJersey)
slogan|n.口号；标语
chaos|n.混乱；无秩序；混沌
libri|n.书册
SE|abbr.东南；音响效果；二次发射；标准英语（=southeast；soundeffect；secondayemmision；standardEnglish)
imp|n.小恶魔；顽童; v.装上翅膀；移植羽毛; abbr.工业管理程序（=IndustrialManagementProgram); abbr.接口信息处理（=InterfaceMessageProcessor); abbr.星际监视探测人造卫星（=InterplanetaryMonitoringProbeSatellite)
INT|abbr.(=interior)内部的; abbr.(=international)国际的; abbr.(=interjection)感叹词; abbr.(=intelligence)智力
thorn|n.刺；荆棘
Oriental|adj.东方的；东方人的；（宝石）贵重的；优质的; n.东方人
expertise|n.专门知识；专门技术；专家的意见
LIT|动词light的过去式和过去分词形式.; abbr.文学（=literature）
optimum|adj.最佳的；最适宜的; n.最适宜
doubtless|adj.无疑的；确定的; adv.无疑地；确定地；很可能地
ADJ|abbr.(=adjuvantdisease)佐剂病；（=adjective）形容词
symmetry|n.对称(性)；匀称；整齐
muddy|adj.泥泞的；浑浊的；糊涂的; v.使沾上烂泥；使...混浊；使迷惑
militant|adj.好战的；积极从事或支持使用武力的; n.斗士；激进分子
provoke|vt.激怒；惹起；驱使
Rifai|里法伊
ST|abbr.标准时间（=standardtime）；街道（=street）
indefinite|adj.模糊的；不确定的；无限期的
henceforth|adv.今后，此后
expend|vt.花费；消耗
oath|n.誓言；誓约；咒骂语
liability|n.责任；债务；倾向；可能性；不利因素
gaol|n.监狱; v.(使)坐牢；监禁; =jail(美).
tilt|vt.(使)倾斜; vi.抨击；争论; n.倾斜；车盖；以全速；(小舟、车辆、地摊等的)帐蓬
rebellion|n.叛乱；反抗
fling|vt.投；粗暴地推向...；猛冲；激动地说；全身心投入; n.投掷；一时的行乐；漫不经心的一段(尝试或感情); vi.急冲；(动物)猛跳
narrative|n.故事；叙述; adj.叙述的；叙述体的
Frein|弗赖恩
guy|n.家伙；(男)人; n.拉索；牵索; vt.嘲笑
depression|n.沮丧；萧条
token|n.象征；标志；纪念品；代币；代价券；[语言学]语言符号; adj.象征性的；装样子的
elegant|adj.优雅的；雅致的
advertise|v.登广告；宣传；告知
cavity|n.洞；空穴；腔；蛀洞
ZL|=zeroline零线,基线
bachelor|n.单身汉；学士
bald|adj.秃头的；单调的；无装饰的; v.（使）变秃头
spy|n.间谍；侦探；侦察; v.侦探；监视；看到；找出
instrumental|adj.仪器的；乐器的；有帮助的；可做为手段的; n.器乐曲；[语]工具格
transplant|v.移居；移栽(植物)；移植(器官); n.移植；移植物
haunt|n.常到的地方; vt.缠住；常到；出没(像鬼魂一样); vi.徘徊；出没(像鬼魂一样)
enroll|v.登记；招收；入伍
angel|n.天使；天使般的人
seam|n.缝；接缝; vt.缝合；接合；使有纹; vi.有裂缝
IMI|=InstituteoftheMotorIndustry汽车工业学会[英]
manuscript|n.手稿；原稿; adj.手抄的
notation|n.记号；表示法；注释；记法
texture|n.质地；手感；口感；组织；结构；纹理；特点; vt.给予结构
tolerant|adj.宽容的；容忍的
ID|n.私我；本我; abbr.身份证（=identification）; v.认出，识别
NST|=NewSerialTitles《新刊题录》([美]期刊)
UNI|abbr.印度联合新闻社(=UnitedNewsofIndia)
patrol|n.巡逻；巡查; v.巡逻；巡查
ethnic|adj.种族的；民族的；有民族特色的; n.少数民族的一员
dominate|v.支配；控制；统治；占优势；俯视；高耸于
constituent|n.成分；选民；构成物; adj.构成的；组织的；立宪的
ad|abbr.广告(=advertisement); abbr.公元(=AnnoDomini)
suspension|n.暂停；中止；悬挂；悬浮液
spouse|n.配偶
stall|n.栅栏；小隔间；货摊；座位; v.把...关进畜舍里；失速；熄火；拖延；（使）动弹不得
temp|n.临时雇员; v.临时做工; abbr.暂时的(=temporary); 温度(=temperature).
terrify|v.使害怕；使恐怖；威胁
induce|vt.引起；促使；劝服；引诱
Destini|n.德斯蒂妮
rig|n.装备；帆具；服装；钻井架；钻塔; v.装配；装扮；临时赶造；操纵
pregnant|adj.怀孕的；充满的；意味深长的
lain|动词lie的过去分词
tar|n.焦油；柏油; n.水手; vt.涂以焦油
LAI|abbr.意大利航空公司（=LineeAereeItaliane）
census|n.人口普查；户口普查；统计
marble|n.大理石；弹子，弹珠; vt.使有大理石的花纹
pasture|n.牧场；草原; vi.吃草; vt.放牧
LV|abbr.登陆车辆(=LandingVehicle); abbr.活动发射装置(=LanuchVehicle); abbr.法定伏特(=LegalVolt); abbr.极限值(=LimitValue); abbr.路易·威登(箱包和皮具领域的世界顶级品牌)（=LouisVuitton）
EL|abbr.高度（=elevation）
cafeteria|n.自助餐厅
propel|v.推进；驱使
propaganda|n.宣传；宣传的内容
hierarchy|n.等级制度；统治集团；[生]级系
drastic|adj.激烈的；重大的；极端的
Nou|努
PLA|abbr.中国人民解放军（=People'sLiberationArmy）
client|n.委托人；客户
brace|v.防备；支撑；绷紧；振作; n.支柱；支架；牙箍；一对；（复）吊带裤；大括号
endurance|n.忍耐；忍耐力；耐性
earnings|n.收入；利润
transient|adj.短暂的; n.短期居留者；顺变电流
proximity|n.接近；亲近
preclude|vt.阻止；排除
plead|v.辩护；恳求；提出借口；认罪
bruise|n.瘀青；擦伤；挫伤; vi.碰伤；擦伤; vt.使挫伤
eloquent|adj.雄辩的；有口才的；动人的
amateur|n.外行；业余爱好者; adj.业余（爱好者）的
SP|abbr.自已推进的(=self-propelled)
suppress|vt.镇压；隐瞒；压制；止住；禁止
tribute|n.贡品；称赞；敬意；礼物
discrete|adj.不连续的；分离的
simulate|vt.假装；模拟；模仿
apt|adj.恰当的；聪明的；易于...的; abbr.公寓（=apartment）; abbr.才能；天资（=aptitude）
verse|n.诗；韵文；诗节; vi.作诗; vt.诗化；在诗中表现；对...精通
muscular|adj.肌肉的；肌肉发达的
WI|abbr.威斯康星州(=Wisconsin); abbr.熟铁(=wroughtiron); abbr.西印度群岛(=WestIndies)
advent|n.出现；到来
Kw|abbr.千瓦(=kilowatt)
grieve|vt.使伤心；使悲伤; vi.悲伤；伤心
presentation|n.介绍；陈述；赠送物；报告；[美]讲课
MEK|abbr.甲基乙基酮(=methylethylketone)
prak|吸息
DI|abbr.教官（=drillinstructor）
notwithstanding|adv.虽然；尽管; prep.纵使; conj.虽然
Kleim|克兰
tragic|adj.悲剧的；悲惨的
REP|n.距离公算偏差(代表性)
PRE|abbr.PetroleumRefiningEngineer炼油工程师
diversion|n.转向；转移；娱乐活动；临时绕行
obscure|adj.难解的；不著名的；微暗的；[语音学]轻音的; v.使...模糊；隐藏；变模糊; n.模糊不清的东西
grope|v.(暗中)摸索；探索；(调情时)抚摸…身体
GI|adj.美国军用的；美国军人的; n.美国兵; adv.军纪严格地; vt.为检阅而打扫; abbr.镀锌铁(=galvanizediron)
configuration|n.结构；布局；形态；格式塔心理完形; [计算机]配置.
guideline|n.指导方针；准则
arc|n.弧；弧形物; vi.形成电弧；按弧形轨迹行进
orientation|n.适应；定位；情况介绍；信仰；倾向；[计]定向；（学生）迎新会
reservation|n.预定；保留意见
prolong|vt.延长；拖延
pedestrian|adj.徒步的；缺乏想像的; n.行人
ballet|n.芭蕾舞
closet|n.壁橱；衣帽间；密室；厕所; adj.隐藏的；不公开的；空谈的; vt.把...关在房间里
set|v.放置；设定；确定；规定；调整；分配；(太阳)落下去；将（宝石）镶嵌到（某物）；配乐; n.集合；组合；日落；一套；一副；一局比赛；舞台；姿态；头发的定型; adj.规定的；固定的；不变的；做好准备的；固执的；不自然的
spectacular|adj.壮观的；令人惊叹的; n.壮观；豪华节目
exemplify|vt.例证；示范
irrigation|n.灌溉；[医]冲洗
NAI|n.无地址指令
autonomy|n.自治；自治权；自主
eligible|adj.有资格的；合适的
inhabit|v.居住于；占据；栖息
afflict|vt.使苦恼；折磨
cluster|n.群；簇；丛；串; v.群集；丛生；使成群
abnormal|adj.反常的；不正常的；变态的; n.不正常的人
electronics|n.电子学；电子器件
coward|n.懦夫; adj.胆小的; Coward.; n.科沃德(姓氏)
misfortune|n.不幸；灾祸
Tik|季克
global|adj.全球性的；总的；球状的
brood|n.一窝；一伙；一家孩子；一组事物; v.孵；沉思；笼罩
skip|v.跳过；略过；遗漏; n.跳跃；跳读；省略
collide|vi.碰撞；互撞；砥触
prescription|n.处方；药方；对策
poster|n.海报；装饰画；急行旅人
sensation|n.感觉；轰动；激动；知觉
MEL|abbr.多元激光(=Many-ElementLaser); abbr.主要设备清单(=MasterEquipmentList)
immune|adj.免疫的；免除的
interact|vi.相互作用；相互联系；相互影响；互动
rupture|n.破裂；断裂；[医]疝气; v.（使）破裂
humanity|n.人类；人性；人道；慈爱；(复)人文学科
analogy|n.类比；相似；类似
masculine|adj.男性的；有男子气概的；阳性的; n.阳性；男性
suitcase|n.手提箱
alleviate|vt.减轻；使...缓和
customary|adj.习惯的；惯例的
retention|n.保留物；保存；保持(力)；记忆力
triple|adj.有三部分的；三倍的; v.（使）成三倍; n.三个一组；三倍之数；（垒）三垒打
barren|adj.贫瘠的；无效的；不育的; n.荒地
hoist|v.升起；升高；举起; n.起重机；升高
groan|v.呻吟；抱怨；发嘎吱声；受重压; n.呻吟；呻吟声
sip|n.啜饮; v.啜饮；啜
paralyze|vt.使...瘫痪；使目瞪口呆; =paralyse（英）
estate|n.财产；遗产；房地产；状态；庄园
pen|n.钢笔；笔；写作；围栏；雌天鹅; v.写；把…关在圈中
riot|n.暴乱；骚乱；喧闹；（色彩）丰富；有趣的人; v.闹事；骚乱
rectify|vt.改正；[化]精馏；[电]整流
timber|n.木材；木料
elevate|vt.举起；提拔；素养提升；鼓舞; vi.变高
software|n.软件
virgin|n.处女；未婚女子; adj.未开发的；纯洁的；原始的; （V~）维尔京群岛
cordial|n.兴奋剂；补品; adj.热忱的；诚恳的；兴奋的
dedicate|vt.致力于；献出；提献辞
ultraviolet|adj.紫外线的; n.紫外线
Dizi|弟子
ma|n.妈
culminate|vi.达到顶点；达到高潮；告终; vt.使达高潮；使结束
wild|adj.野生的；野蛮的；未开发的；狂热的; adv.胡乱地；失去控制地; n.荒野；荒地
scent|n.气味；香味；线索; v.闻出；发觉；充满；得到...的暗示
eft|n.蝾螈
jury|n.陪审团；评委会; adj.临时用的; vt.挑选
boost|v.提高；增加；鼓励；举起；为...做宣传; n.增加；推进；鼓励
controversy|n.争议；(公开的)争论
notion|n.观念；概念；想法；主张
smash|v.打碎；粉碎；猛撞; n.破碎；撞击；轰动的演出；[网球]高压扣球; adj.极为成功的
charter|n.宪章；特许；(船、机、车等的)租赁; vt.包租；特许；发给...执照; adj.特许的
divert|v.转移；娱乐
finite|adj.有限的
nourish|v.滋养；给营养；培育；怀有
fringe|n.流苏；边缘；次要；额外补贴; vt.用流苏修饰；镶边
gossip|n.流言蜚语；爱说长道短的人；闲话; vi.散播(流言蜚语)
redundant|adj.多余的，过多的；累赘的，冗长的；解雇的；重复的，千篇一律的
LD|abbr.检漏器(=LeakDetector); abbr.负载(=load); abbr.当地交付(=LocalDelivery)
canvas|n.油画；帆布；（帆布）画布
UV|abbr.紫外线(=ultraviolet)
expel|vt.驱逐；开除；排出
pathetic|adj.可怜的；不足的；感伤的；悲哀的
sit|v.坐；栖息；使就座; n.坐；栖息
MEMB|n.膜片
void|adj.空的；无效的；缺乏的; n.真空；空白；空虚; vt.使无效；排泄；使空出; vi.排泄
purity|n.纯净；纯洁；纯正；纯粹
symptom|n.症状；征兆
tempt|vt.诱惑；怂恿；引诱；吸引
menace|n.威胁；恐吓；讨厌的人（物）; v.威吓；威胁
soar|vi.翱翔；高飞；猛增；高涨；高耸; n.翱翔；高飞
SK|abbr.样品箱(=SalesKit); abbr.萨斯喀彻温(加拿大省名)(=Saskatchewan); n.鲜京(公司名；部所在地韩国；主要经营炼油)
mortgage|n.按揭；抵押；抵押贷款; vt.抵押
radiant|adj.发光的；明亮的；辐射的
foul|adj.恶臭的；邪恶的；污秽的；恶劣的；犯规的; n.犯规; v.弄脏；妨碍；犯规
Trent|n.塔兰托（意大利北部一城市）; n.特伦特(姓氏；男子名)
invaluable|adj.无价的；非常珍贵的
heritage|n.遗产；继承物
articulate|adj.发音清晰的；善于表达的；有关节的; v.清楚地讲话；发音；以关节连接
latitude|n.纬度；自由
subjective|adj.主观的
lamb|n.小羊；羔羊肉；羔羊；温顺的人; vi.产羊羔
with|prep.用；随着；包括；和...一起
chorus|n.合唱队；歌舞队；齐声说道；副歌部分; vt.合唱
Easter|n.复活节
massive|adj.巨大的；大量的；大规模的；大范围的；严重的
analytical|adj.分析的；解析的；善于解析的
ER|abbr.(=emergencyroom)急诊室; 【化】元素铒（erbium）的符号.; int.呃
lease|n.租约；租契；租期; vt.出租；租得
partition|n.划分；隔离物; vt.区分；隔开；分割
recipe|n.秘诀；食谱；药方
notable|adj.显著的；著名的; n.名人
surplus|n.过剩；顺差；盈余; adj.过剩的；多余的
stubborn|adj.顽固的；倔强的；难对付的
PL|n.分界线(合用线；有效负载；信号灯；金属板)
imaginative|adj.富于想象力的
pend|v.悬而未决
plea|n.恳求；申诉；抗辩；借口
combat|n.战斗；试图解决; v.战斗；与...斗争；试图解决; adj.战斗的
hamper|vt.妨碍；阻止; n.大篮子
productive|adj.生产的；有成效的；多产的
handbook|n.手册；指南
discrepancy|n.差异；不一致；分歧
migrate|vi.迁移；迁徙；转移
subsidy|n.津贴；补助金
recipient|n.接受者；收信人
opaque|adj.不透明的；难懂的
enclosure|n.附件；围墙；围绕
contempt|n.轻视；轻蔑
hypothesis|n.假说；假设；前提；猜测
summon|vt.召唤；召集；振奋
aesthetic|adj.美学的；审美的；有美感的; n.(复数)审美观
dilemma|n.困境；进退两难
flap|n.拍打；拍打声；片状垂悬物；副翼；不安; v.拍打；鼓翼而飞
quest|n.探索；寻求; v.寻找；搜索
fluctuate|vi.波动；动摇；起伏; vt.使动摇
speciality|n.专长
quantify|v.用数量表示；量化
tick|v.滴答作响；给…标记号；运作；空转; n.滴答声；一会儿；勾号；壁虱；蜱虫；枕套；褥套；赊欠
vend|v.叫卖；出售
script|n.剧本；脚本；手稿；手迹；字体；考卷
veil|n.面纱；面罩；掩饰物; vt.使戴面纱；遮蔽; vi.戴面纱
convict|vt.宣判...有罪；使...知罪; n.囚犯；罪犯; adj.被定罪的
Keit|n.基特
commute|v.通勤；折换；减刑；改变；交换; n.乘车上下班
Gn|n.绿色
designate|vt.指定；标明；把...定名为；选派; adj.指定的
composite|adj.合成的；复合的; n.合成物；复合材料
glare|n.闪耀光；刺眼; v.发眩光；瞪视
likelihood|n.可能性
flee|vi.逃走；消失；逃避；(时间)飞逝; vt.逃离
cripple|n.跛者；残废; v.削弱；使...瘫痪
update|v.更新；升级; n.更新
assimilate|v.使同化；吸收
captive|n.俘虏；迷恋者; adj.被俘的；被迷住的
diploma|n.文凭
um|int.嗯
