century|n. 世纪，一百年，成百的东西
box|n. 盒子,箱,专席,亭子,窘境 vt. 装...入盒中,限制住,调和,改变形状,用拳击... vi.参与拳击
boy|n. 男孩,儿子
bracket|n. 支架, 括号, 档次 vt. 支撑, 放在括号内, 归入一类, 包含, 支持
brand|n. 燃烧的木条,剑,商标,牌子,烙印,类型 vt. 打烙印,污蔑,铭记
brave|adj. 勇敢的,缤纷的,绚丽的 vt. 勇敢地面对(危险等),抵抗 n. 勇敢的人
Brazil|n. 巴西
bread|n. 面包,食物,生计 vt. 撒面包屑
break|n. 休息,中断,破裂 v. 打破,弄破,弄坏
breakfast|n. 早餐 vt. 吃早餐 vi. 提供早餐
breathe|vi. 呼吸 vt. 轻声说,流露感情,注入
bridge|n. 桥,鼻梁,桥牌 vt. 渡过,架桥
bright|adj. 明亮的,阳光的,生动的,聪明的 adv. 亮 n. 亮色
bring|vt. 带来, 引起, 促使, 劝诱 vi. 产生
Britain|n. 不列颠, 英国
British|adj. 英国的 n. 英国人, 英国英语
brochure|n. 小册子
broke|adj. 一文不名的 vt. &amp;vi. break的过去式,打破,断掉
broken|adj. 坏掉的,打破的,断掉的 v. 打破,弄坏(break的过去分词)
broom|n. 扫帚；金雀花 vt. 扫
brother|n. 兄弟, 同胞, 同事, 教友
brown|adj. 褐色的,棕色的 n. 褐色,棕色 (姓)布朗
brush|n. 刷子,画笔,轻擦,小冲突, 灌木丛 vt. 用刷子清洗,画,拭去,打发 vi. 轻擦,拂拭
Brussels|n. 布鲁塞尔(比利时首都)
build|vt. &vi. 建造，创建，开发，逐渐增强 n. 体格，身材
building|n. 建筑物
burn|n. 烧伤,灼伤 vt. &vi. 燃烧,烧着,烧毁,灼伤
burnt|adj. 烧焦的，烧坏的 动词burn的过去式和过去分词
bury|vt.埋葬，葬； 为...举行葬礼； 隐藏，埋藏，遮盖，掩蔽； 专心致志于，埋头于，沉溺于
bus|n. 公共汽车
business|n. 商业,生意,事务
businessman|n. 商人
busy|adj. 忙的,杂乱的 vt. 使忙于 vi. 忙
but|adv. 仅仅,只 conj. 但是 prep. 除...以外 pron. 只有
butt|n. 烟头,靶,笑柄，屁股 vt. &vi. 用头撞；用角顶
butter|n. 黄油,阿谀奉承 vt. 涂黄油
button|n. 钮扣,徽章,像纽扣的东西,未成熟的蘑菇,按钮 vt. 用纽扣装饰,钉纽扣,闭嘴 vi. 扣上
buy|n. 合理的价格,购买 vt. 买,换得,收买,接受 vi. 购买
by|prep. 被, 经由, 在...之前, 根据 adv. 靠近, 经过, 放在一旁地 adj. 在旁边的, 附带的 n. 次要的事件
bye|int. 再见
cabbage|n. 卷心菜,洋白菜
cafe|n. 咖啡馆,小餐馆
cage|n. 笼子 v. 关入笼中 vt. 把...关入笼内
Cairo|n. 开罗(埃及首都)
cake|n. 蛋糕, 薄饼, 块状物, 小菜一碟(容易做成的事) vt. 涂厚厚的一层, 覆盖, 填满 vi. 结成块
calendar|n. 日历,月历,日程表 vt. 进入日历
call|v.呼唤，喊叫； 召唤，叫来，召集； 下令，命令； 打电话给 n.喊叫，大声喊； 电话联络； 必要，理由； 要求
calm|n. 平稳,风平浪静 adj. 平静的,冷静的 vt.&vi. 平静下来,镇静
camera|n. 摄像机,照相机
can|aux. 能,可以 n. 罐头 vt. 罐装 vt. 炒某人鱿鱼
Canada|n. 加拿大
Canadian|adj. 加拿大的，加拿大人的 n. 加拿大人
cancer|n. 癌,巨蟹座
candle|n. 蜡烛
candy|n. 糖果 vt. 用糖煮, 使结晶为砂糖 vi. 结晶为砂糖
canoe|n. 独木舟, 轻舟 v. 乘独木舟
canon|n. 教会法规; 标准、准则; 正典; 正式名单; 教堂里的教士 佳能(财富500强公司之一, 总部所在地日本, 主要经营办公设备)
cap|n. 帽子,盖子,顶 vt. 给戴帽,覆盖顶端,超过,形成化学键于,抑制 vi. 形成化学键
capital|n. 首都,资本,大写字母 adj. 大写的,资本的，首要的
captain|n. 船长, 队长, 首领 vt. 率领, 指挥
car|n. 小汽车, 车厢, 吊舱
card|n. 卡片,纸牌,名片,打牌,节目单 vt. 附上或提供卡片,印卡,在卡片上列出,检查资格
care|n. 小心,照料,忧虑，慎思，焦虑因素 vi. 关心,照顾,喜爱 vt. 介意,希望 abbr.=Cooperative for American Remittances to Europe 汇款到欧洲合作社
careful|adj. 小心的, 仔细的
carefully|adv. 小心地, 仔细地
careless|adj. 粗心的, 疏忽的 n. 不关心的, 粗心的[反]attentive
carelessly|adv. 粗心大意地，疏忽地
carrot|n. 胡萝卜,报酬,好处
carry|n. 搬运, 射程, 投射, 联运 vt. 负载, 运输, 传送, 传播, 表达, 带有, 容纳, 承担, 怀孕, 延续, 推动, 赢得, 记录 vi. 负载, 被传达, 容许被运输, 被通过
carve|vt.& vi. 雕刻,切割
cash|n. 现金 vt. 兑现,付现款 adj. 现金的
castle|n. 城堡 vt. 置于城堡中,(棋)移动王车易位 vi. (棋)移动王车易位
cat|n. 猫,猫科动物,邪恶的女人,吊锚机,单帆小船 vt. 吊锚 vi. 寻找性交伴侣 (CAT) 电子计算机横断层扫描
catch|n. 捕捉,陷阱,捕获物,接(球等),扣栓物,隐患 vt. 抓住；赶上,了解,感染,被钩住,击中,察觉 vi. 抓住，燃着
cause|n. 原因；事业；目标 vt. 引起；使遭受
CD|abbr. 激光唱片(=compact disc)
celebrate|vt. &vi. 庆祝,祝贺,颂扬
cent|n. 分
centre|n. 中心,聚集点 vt. 置于中央,关注于 vi. 居中
ceremony|n. 典礼,仪式,礼节,礼仪
certain|adj. 一定的 pron. 某几个,某些 肯定的,无疑的,必然发生的
certainly|adv. 当然
chair|n. 椅子,席位,讲座,要职 vt. 上任,使担任（某事务）的主席,主持
challenge|n.挑战； 盘问； 质疑； 怀疑 vt.质疑； 向...挑战 vi.提出挑战，要求竞赛（或竞争）； 驳斥
champion|n. 冠军, 拥护者, 勇士 vt. 保卫, 拥护
chance|n. 机会, 意外, 运气, 风险 vi. 偶然发生 vt. 偶然发生, 冒险
change|n. 变化, 零钱 v. 改变
channel|n. 通道,频道,海峡,方法 vt. 引导,开导,形成河道,输送
chant|n. 圣歌,赞美诗,旋律,喊叫 vt. 吟唱,诵扬,叫喊 vi. 吟唱, 单调地说
character|n. 个性, 品质; 字符; 人物; 名誉; 地位
chart|n. 图表 vt. 制成图表
cheap|adj. 便宜的,品质低的,虚伪的 adv. 便宜地
cheater|n. 骗子，背叛者
check|vt.检查，核对； 制止，抑制； 在...上打勾 vi.核实，查核； 中止； 打勾； [象棋]将一军 n.<美>支票； 制止，抑制； 检验，核对
in|prep. 在,在...之内, 穿着,（表示状态或状况）,参与，在...方面
out|adj. 外面的,向外的,落伍的,不做考虑的 adv. 向外,离岸,外出,出局,出去,用尽,完成,出现,结束 vt. 释放出,结露 vi. 揭发 prep. 向外,通过 n. 外面,在野者,下台者,出局的一击
cheer|n. 愉快,激励,欢呼 vt. 加油,鼓舞,快活起来 vi. 使振奋,欢呼
cheese|n.奶酪； <俚>微笑 vt.<俚>停止
chemistry|n. 化学,化学性质,相互作用
chess|n. 国际象棋
chicken|n. 鸡,鸡肉,胆小,懦夫 adj. 懦弱的,胆小的
child|n.小孩，孩子； 幼稚的人； 产物； 弟子
chimney|n. 烟囱
China|n. 瓷器；中国 adj. 瓷制的（小写时）
chocolate|n. 巧克力, 巧克力糖, 巧克力饮品 adj. 巧克力的, 有巧克力糖衣的, 巧克力色的
choice|adj. 上等的,精选的 n. 选择,挑选
choose|vt. &vi. 选择
chopstick|n. （常复数）筷子
Christmas|n. 圣诞节
church|n. 教堂,礼拜仪式,基督教徒 adj. 教堂的 vt. 把...带到教堂接受某种宗教仪式
cinema|n. 电影院,电影
circle|n. 圆周,社交圈,循环 vt. &vi. 包围,盘旋,环绕
city|n. 城市
class|n. 班级,(等)阶级,种类 vt. 分类
classical|adj. 古典的, 典雅的, 经典的
classify|v. 分类,归类,分等
classmate|n. 同班同学
classroom|n. 教室，课堂
clean|adj. 干净的, 正当的, 纯洁的, 完全的, 精准的, 空的 adv. 完全地 n. 清洁 vt. &vi. 打扫,清扫
cleaner|n. 清洁工, 清洁工具 （复数）cleaners:干洗店
clear|adj. 清楚的,明确的,澄清的,头脑清醒的 vt. 澄清,清除障碍, 使明亮, 明确 vi. 变清晰, 消失, 放晴 adv. 清楚地, 一直 n. 间隙, 空地, 开旷的地方
clearly|adv. 清楚地
clever|adj. 聪明的,机灵的
click|n. 点击,滴答声,拍答声 vt. 点击,作滴答声,使...作拍答声 vi. 击打,完全符合,成功,以点击的方式选择
climb|vt. &vi. 攀登,上升,爬 n. 攀登(处)
clock|n. 时钟, 计时器
close|n. 完结, 结论 adj. 靠近的,亲近的，几乎，密切的, 势均力敌的 vt. 关,结束,靠近 vi. 关，停业, 搏斗 adv. 紧挨着, 紧紧地
closed|adj. 关闭的, 封闭的, 停业的 动词close的过去式和过去分词
cloth|n. 布料, 一块布
clothes|n. 衣服
cloud|n. 云,云状的烟，阴影 vt. 使...模糊，以云遮敝,笼罩，使...混淆,毁坏 vi. 脸色显得阴沉
cloudy|adj. 多云的
club|n. 击棍,扑克牌中的梅花,俱乐部 vt. 用棍棒打,集合 vi. 集合,分担花费,泡夜总会
coach|n. 大巴, 教练; (火车)客车车厢, 四轮马车, 经济舱 vt. 训练, 指导 vi. 训练, 指导
coal|n. 煤, 木炭, 运煤工 vt. 烧成炭,供应煤 vi. 装煤, 加煤
coat|n. 外套,一层,动物皮毛 vt. 外面覆盖,盖上毛衣
code|n. 码,密码,法规,准则 vt. 把...编码,制成法典
cold|adj. 冷的, 漠然的, 客观的 n. 感冒, 低温 adv. 唐突地, 无回旋余地地, 即兴地
coffee|n. 咖啡
coin|n. 硬币,金钱,货币 vt. 制造钱币,创造 adj. 与硬币有关的
coke|n. 焦炭 vt. &vi. 炭化
collapse|n. 崩溃,倒塌,暴跌 vi. 倒塌,崩溃,瓦解,折叠 vt. 倒塌,缩减
collect|vt.收集； 收藏； 接走； 聚积 vi.募捐； 募集 adj.由受话人付费的
college|n. 学院, 学校，社团，枢机主教团
colour|n. 颜色 v. 给...着色,染 vt. 给...着色
colourful|adj. 多色的，丰富多彩的
column|n.纵队，列； 圆柱； 专栏
come|vt. 接近，扮演 vi. 来，发生，达到，进入
comfortable|adj. 舒适的,充裕的
commission|n. 委任(状), 任官令; 委员会 n. 佣金; 犯罪行为 vt. 委任, 委托; 使服役
common|adj. 共同的, 平常的, 普通的 n. 平民, 普通, 公地, 公园
company|n. 同伴,客人,一群,连队,公司 vt. 陪伴 vi. 联合
comparative|adj. 比较的,相当的 n. 对手
compare|vt.&vi. 比较,比喻,对照 n. 比较，对照
comparison|n. 比较
compete|v. 竞争, 对抗
competition|n. 比赛,竞争
complain|vi. 抱怨,悲叹,控诉
complete|adj. 彻底的, 完整的, 已完成的 vt. 完成; 使圆满, 使完美
composer|n.创作者（尤指乐曲的）
composition|n. 作文,著作,组织,合成物，成份
computer|n. 计算机
concert|n. 音乐会, 一致, 和谐 vt. 制定计划, 通过协商达成一致 vi. 合作
condition|n. 情况, 条件 v. 以...为条件, 决定, 支配, 训练
conductor|n. 售票员，导体，指挥
confidence|n.信心； 信任； 秘密
confident|adj. 确信的, 自信的
congratulation|n. 祝贺
connect|vt. 连接,联通,使有联系 vi. 连接,接通
continue|vt. &vi. 继续, 连续, 维持
contract|n. 合约, 婚约; 合同书 v.签合同； 缩小； 感染
contribution|n. 贡献,捐款(赠)
conversation|n. 会话,谈话
cook|vi. 烧菜, 发生, 做好 vt. 编造, 烧, 虚构 n. 厨师, 烧菜
cookie|n. 饼干
cool|adj. 凉的,凉快的,冷静的,冷色系的 adv. 冷静地 n. 凉快 vt. &vi. (使)变凉,(使)冷静
copy|n.复制品； 一份； （报刊等的）稿件； 准备排印的书面材料 vt.& vi.复制； 抄写； 容许复制的 vt.模仿； 仿造...的样式或图案； 抄写； 复制
coral|adj. 珊瑚(色)的 n. 珊瑚
corn|n. 谷物,谷粒,陈词滥调,鸡眼 vt. 使成颗粒状,用盐水腌制,用谷物喂 vi. 变成颗粒
corner|n.角落，角； 拐角； 困境； [商]囤积 vi.驾车转弯； 聚于角落 vt.垄断； 逼入困境 adj.位于角落的
correct|adj. 正确的 v. 改正,纠正 vt. 改正
cost|n.价钱，代价； 花费，费用； 牺牲； [用复数][法律]诉讼费 vi.价钱为，花费； 估计成本 vt.付出代价； 估价； 使丧失； 使付出努力
costume|n. 服装,剧装 vt. 提供服装, 为...设计服装 adj. 服装打扮的
cotton|n. 棉花,棉 vi. 向...讨好，明白，领悟
cough|n. 咳嗽 vt. &vi. 咳嗽
could|aux."can"的过去式； 能够，打算； 用于假设语气的条件句； 用于虚拟语气的结论句
count|v. 计算, 视为, 依赖 n. 计数
country|adj. 国家的, 农村的 n. 国家，乡村，区域
countryside|n. 乡下, 农村
couple|n. 对, 夫妇, 数个 v. 加倍, 成双, 连结
course|n. 课程, 讲座, 过程, 路线, 一道(菜)
cousin|n. 堂(或表)兄弟(姐妹)
cover|n. 封面, 盖子, 表面 v. 覆盖, 涉及, 包含
cow|n. 母牛, 母兽 vt.恐吓
crag|n. 峭壁, 危岩
crash|v. 撞碎, 猛使...破碎, 迫降，发出巨响 n. 轰隆声, 猛撞, 崩溃, 破产, 垮台 adj. 速成的 n. 粗布
crazy|adj. 疯狂的，荒唐的 n. 荒唐的人 adv. 疯狂地
cream|n.乳霜； 精英； 奶油色； 乳脂，奶油 vt.把...搅成糊状（或奶油状）混合物； 彻底打败，狠揍
credit|n. 信用, 荣誉, 贷款, 学分 v. 归功于, 赞颂, 信任
critical|adj.批评的，爱挑剔的； 危险的，危急的； 决定性的； [物]临界的
crop|n. 庄稼,收成, 一群,平头 vt. 割掉, 修剪, 剪短, 收割, 使谷物生长 vi. 啃青草, 种植谷物
cross|n. 十字架,十字架形物件,交叉,交叉路 adj. 生气的,交叉的 vt. 划叉剔除，画横线于 vi. 穿越 prep. 穿过
crossing|n. 人行横道，交叉口，横渡 动词cross的现在分词
crow|n. 啼叫,乌鸦, 欢叫 vi. 啼叫,报晓,欢叫 vt. 洋洋夸口,自鸣得意
crowd|n.人群； 群众； 一群 vi.拥挤，聚集 vt.挤满； 将...塞进； 催逼
cry|n. 叫,哭,喊,口号,叫卖声,普遍意见 vt. 大声叫喊,宣传,哭得... vi. 哭,叫,喊,强烈要求
culture|n. 文化,教养,种植 vt. 培养
cup|n. 杯子 v. (使)成杯形 vt. 使成杯形
cupboard|n. 碗橱
current|n. (水、气、电)流, 趋势 adj. 流通的, 现在的, 最近的
cut|n. 切口,割伤,降低,份额,删节,割下的一块肉 vt. 切割,减少,停止,修剪 vi. 切割,快速移动 [计算机] 剪掉
dad|n. 爸爸
daily|adj. 每日的, 按天计算的, 日常的 adv. 每日,天天 n. 日报, (复)工作样片
dance|n. 跳舞, 舞蹈, 舞会, 舞步 vi. 跳舞, 雀跃 vt. 使跳跃, 使某人以跳舞的方式进入
danger|n. 危险
dangerous|adj. 危险的,引起危险的
dare|n. 敢, 挑战 aux. 敢 vi. 敢 vt. 敢于, 勇于面对
dark|adj.黑暗的； 乌黑的； 忧郁的； 神秘的 n.黑暗； 暗色； 暗处
date|n. 日期,约会,枣椰子 vt. 约会,定日期 vi. 追溯到 n.[计算机] DOS命令 : 显示或设置系统日期
daughter|n. 女儿 adj. 与女儿有关的, 女性直系后代的
day|n. 白天,一天
daylight|n. 日光，白昼，黎明
daytime|n. 白天, 日间
dead|adj. 死的,萧条的,精疲力竭的,用完的,无趣的 adv. 完全地,突然地,直接地 n. 死者,死
deaf|adj. 聋的
deal|n. 交易,协定,份量 v. (dealt,dealt[delt])处理,应付,分配
dear|adj. 严重的,珍贵的,亲爱的,昂贵的,衷心的 adv. 高价地,热爱地 n. 亲爱的人,可爱的人 int. 啊,哎呀
death|n. 死,死亡，死神，毁灭
December|n. 十二月
decide|vt. &vi. 决定,作出抉择
decision|n. 决定,决心
decorate|vt. 装饰, 装修, 授予某人奖章或其他奖状
deep|adj. 深的,有...深的,深奥的 adv. 深深地,晚地 n. 深处
deer|n. 鹿
delay|n. 耽搁,迟滞 vt. 耽搁,延迟 vi. 耽搁
delicious|adj. 可口的, 美味的
delighted|adj. 高兴的, 快乐的 v. 快乐, 喜悦
department|n. 部,部门,系
describe|vt. 描述, 画(尤指几何图形)
description|n. 描写, 描述, 说明书, 作图 n. 类型
desert|n. 沙漠,荒地,应得(的惩罚或奖励)adj. 沙漠的,荒凉的vt. 遗弃vi. 擅离职守
deserve|vi. 应该得到 vt. 应受,值得
desk|n. 书桌
destination|n. 目的地,终点,景点
detective|adj. 侦探的 n. 侦探
destroy|vt. &vi. 破坏,毁坏 [计算机] 撤消
develop|vt. 发展,开发,冲洗照片 vi. 进步
diagram|n. 图解,图表 vt. 用图解法表示
dial|n. 刻度盘,针面,转盘 vt. 用仪表测量，操作仪表 vi. 拨号，用仪表测量 [计算机] 拨号
dialogue|n. 对话 vt.& vi. 对话
diary|n. 日记,日记簿
dictionary|n. 词典, 字典, 辞典
die|n. 金属模子,印模 v. 死 n. 骰子（一个小的正六面体）
difference|n. 差异,分歧 vt. 引起区别
different|adj. 不同的,与众不同的
difficult|adj. 困难的, (人)难取悦的, 难相处的
difficulty|n. 困难，争议，反对，麻烦
dig|v. 挖, 翻土
digital|adj. 手指的,数字的,数码的,电子的
dim|adj. 暗淡的,模糊的,笨的 vt. 使暗淡,使失去光泽 vi. 变暗 n. 车头灯的短焦距光
dime|n. 10美分(1角硬币), 少量零钱
room|房间, 空间
dinner|n. 主餐, 晚餐, 晚宴
dinosaur|n. 恐龙 n.(俚)过时、落伍的人或事物
directly|adv. 直接地(立即,完全)
dirty|adj. 肮脏的,色情的,卑鄙的 adv. 卑鄙地 vt. 使...变脏 vi. 弄脏
disappear|vi. 消失,灭绝 vt. 引起消失
disappearance|n. 消失
disappointed|adj. 失望的
discount|n. 折扣, 贴现率 vt. 打折扣, 贴现, 不重视，不全信 vi. 贴现, 减息贷款
discover|vt.& vi.发现
discuss|vt. 讨论
discussion|n. 讨论 v. 讨论,商议
disease|n. 疾病,弊端
dish|n. 盘碟,菜肴,凹形 vt. 装盘,提出,揭露,挖空 vi. 闲谈
dislike|v. 不喜欢,厌恶 vt.&amp;n. 不喜爱,厌恶
display|n. 显示,陈列,炫耀 vt. 显示,表现,夸示
disturb|vt. &vi. 扰乱,妨碍,使...不安
dive|n. 潜水,跳水 vt. 跳水,俯冲 vi. 把...伸入
diver|n. 跳水者，潜水员
divide|vt.& vi.分； 划分； 分离； （使）产生分歧 n.分水岭，分界线； 分配
do|aux. 助动词(无词意) v. 干,做
doctor|n. 医生,博士 vt. 医治,篡改,对...做手脚 vi. 用药
document|n. 文件,公文 vt. 记载,用文件等证明 [计算机] 文档
dog|n. 狗,卑鄙的人 vt. 尾随,跟踪
doll|n.（口技演员使用的）木偶； 玩偶 vt.把...打扮漂亮
dollar|n. 美元
dolphin|n. 海豚
door|n. 门
doormat|n. 门垫
double|n. 两倍,复制品,替身,双重角色的演员,反转,双人房 adj. 两倍的,双重的,骗人的,加量的 adv. 两倍地,双人地,翻来覆去地,对折地 vt. 使加倍,对折,握紧,做替身 vi. 加倍,转身,兼任,替代演出
down|adj. 向下的,降低的,情绪低落,停止运行 adv. 向下的,下跌,在南方 n. 绒毛,汗毛,轻视 prep. 沿着...而下
download|v. 下载
downstairs|adj. 楼下的 adv. 在楼下 n. 楼下
draw|v. (drew, drawn) 拉, 拖, 挨近, 提取, 画, 绘制 n. 平局; 抽签; 拉, 拽吸引人的事物
ream|n. 令, 大量的纸 vt. 扩展, 扩大, 榨出（汁）
dress|n. 女装,服装,连衣裙 vt. &vi. 穿著 adj. 正式的(衣服)
drink|n. 饮料 vt. &vi. 喝,喝酒
drive|v. 开车, 驱使, 驾进力 n. 驾车, 快车道, 推进力, 驱使, 路, 街
driver|n. 驾驶员, 司机
drop|n. 滴,微量,落下 vt. 使落下，减少 vi. 落下，减少，减弱
drought|n. 干旱
drown|vt. 淹死,沉浸于, vi. 淹死
drugstore|n. 药房, 杂货店
dry|adj. 干的，干燥的,干旱的，不行于色的，枯燥无味的，无酒的，口渴的 vt. 把...弄干 vi. （使）变干
duck|n. 鸭，鸭肉，板球零分 vt. 把...按入水中，低头弯身（以免被打中或看见)，躲避 vi. 迅速行进，飞快行走（以免被看见），推委责任
dull|adj. 呆滞的,迟钝的,无趣的,钝的,暗的 vt. 使变钝 vi. 变钝
dumpling|n. 小面团；汤团；饺子，软绵绵象团子的东西
during|prep. 在...期间
dustbin|n. 垃圾箱
duty|n.税，义务, 职责 adj. 值班的, 作为一种义务的
DVD|abbr. 光碟，影碟（=digital video disk）
each|adj. 每个, 每, 每一 adv. 每个 int. 每个, 个人, 个自
ear|n. 耳朵, 听觉, 倾听, 麦穗 vi. 长出麦穗
earlier|adj. 早的，初期的 adv. 更早地
early|adv.&amp;adj. 早
earth|n. 地球,泥土,世间,大地,地球人 vt. 赶入洞中,提取土壤 vi. 躲入洞穴
earthquake|n. 地震
east|adj. 东方的 adv. 向东方 n. 东, 东方
Easter|n. 复活节
easy|adj. 容易的,安逸的,不费力的 adv. 慢慢地, 当心地
eat|vt. 吃,消耗 vi. 吃,侵蚀 n. 食物
edge|n. 边,边缘,刀口 vt. 给...加上边,缓慢横过,使逐渐丧失 vi. 徐徐前进
education|n. 教育,培养
egg|n. 蛋; (俚语)人
eight|num. 八 pron. 八(个,只...)
eighteenth|adj. 第十八的&amp;#57347; num. 第十八 n. 第十八, 十八分之一
eighth|n. 八分之一 num. 第八
either|pron. 任一的 conj. 或, 也 adj. 任一, 两方的 adv. 也
electronic|adj.电子的； 电子操纵的； 用电子设备生产的； 用电子设备完成的
elephant|n. 大象, 庞大笨拙难处理的事物
eleven|num. 十一 pron.&amp;adj. 十一(个,只...)
else|adj. 别的, 其他的 adv. 另外,否则
employee|n. 雇员
empty|adj. 空的,空虚的,空腹的 n. 空物 vt. 使...空 vi. 变空,流入
encourage|v. 鼓励,激励,支持 vt. 鼓励
end|n. 结束,终点,目标,末端 vt.& vi. 结束,终结 adj. 最终的
ending|n. 结尾, 结局
enemy|n. 敌人, 有害物, 敌对势力
energy|n. 活力,精力,能力,能,能量
engine|n. 发动机, 引擎, 机车, 火车头 vt. 装引擎
engineer|n. 工程师 v. 设计,制造 vt. 操纵,设计,建造
England|n. 英格兰, 英国
English|n.英语 adj.英格兰的； 英国的； 英语的； 英格兰人的
Englishman|n. 英国人
speaking|adj.发言的,能说的 动词speak的现在分词
enjoy|vt. &vi. 享受,喜欢
enjoyable|adj. 有趣的, 愉快的
enough|adj. 足够的 adv. 足够地 n. 充足,足够 pron. 足够(的)
enter|vi. 进入,参加,开始,上台,进入角色 vt. 进入,报名,开始,加入,报价,提出 [计算机] 送入
entrance|n. 入口 v. 使出神,使入迷 vt. 使出神
envelope|n. 信封, 封皮,壳层
environment|n. 环境,外界
er|abbr. (=emergency room)急诊室 Er: 元素饵的符号 int. 呃
eraser|n. 橡皮擦
escape|n. 逃亡,避难设备 vt. &vi. 逃脱,避开 adj. 逃避的
especially|adv. 特别,尤其
essential|adj.基本的； 必要的； 本质的； 精华的 n.必需品； 基本要素； 必不可少的东西
ethnic|adj. 民族的，种族的，有民族特色的 n. 少数民族的一员
Europe|n. 欧洲
eve|n. 前夜,前夕 n. [圣]夏娃
even|adj. 平坦的, 偶数的, 相等的 adv. 甚至, 恰好, 正当 v. 使平坦, 相等
evening|n. 傍晚, 晚上
event|n. 大事, 事件, 项目, 活动
ever|adv. 曾经, 永远, 究竟
every|adj. 每,每个,每隔...的
everybody|pron. 每人, 人人，各人
everyone|pron. 每人, 人人
everything|pron. 每件事, 一切
everywhere|adv. 到处, 无论何处
exactly|adj. 完全的 adv. 恰好地,正好地,正确地,精确地,正是
exam|n. =examination 考试
examination|n. 考查,考试,审讯
example|n. 榜样,例子 vt. 把...作为例子
excellent|adj. 极好的,优秀的
except|vt. 除,除外 prep.&conj. 除了...之外,若不是,除非
excited|adj. 兴奋的
exciting|adj. 令人兴奋的
excuse|n. 借口,理由；低劣的样品,假条 vt. 原谅,辩解,准许离开,同意赦免
exercise|n. 练习,作业,运动 vt. 运用 vi. 锻炼
exit|n. 出口,退场,离去 vi. 退出,死亡 vt. 离开
expect|vt.期望； 预料； 要求； 认为（某事）会发生 vi.预期； 期待； 怀胎； 怀孕
expensive|adj. 昂贵的,豪华的
experience|n. 经历, 经验 vt. 经历, 体验
expert|adj. 熟练的,内行的 n. 专家,能手 vi. 当专家
explain|vt. &vi. 解释,说明
explore|vt. &vi. 探险,探测,探究
explorer|n. 探测者
expression|n. 表达,表示,表现,表情,措辞,词句
eye|n. 眼睛 v. 看, 注视
face|n. 脸, 神情, 面子, 表面 vt. 面对, 朝 vi. 朝, 向
fact|n. 实际, 事实
factory|n. 工厂, 制造场所
fail|vi. 衰退,失败,不及格 vt. 辜负,缺少,未能做 n. 不及格
fair|adj. 公平的, 晴朗的, 美丽的; 相当的 adj. (皮肤, 毛发等）浅色的; 白皙的 n. 展览会, 市集 adv. 公平地; 直接地
faithful|adj. 如实的, 忠诚的, 忠实的
fall|n. 秋天, 落下, 瀑布 v. 倒下, 落下, 来临
false|adj. 不真实的,错误的,人造的,假的,虚伪的 adv. 不真诚地,虚伪地
family|adj. 家庭的 n. 家庭
famous|adj. 著名的,一流的
fan|n. 风扇,扇形物,狂热者 vt. 风选,煽,吹,煽动,向扇子一样展开 vi. 像扇子一样行动,鱼贯而出
far|adv.&amp;adj. 远的(地) n. 远处
farm|n. 农场,农田 vt. 务农 vi. 务农
farmer|n. 农夫
farming|n. 耕作 动词farm的现在分词
farmland|n. 农田
farther|adj. 更远的, 进一步的 adv. 更远地, 进一步地
farthest|adj. 最远的, 最久的 adv. 最远地
fast|adj.快的； 走得快； 感光快的； 紧的 adv.（比准确的时间或宣布的时间）快； 迅速地； 紧紧地； 彻底地 vi.禁食，（尤指）斋戒 n.禁食期，斋戒期； 断食，节食
fat|adj. 肥胖的,厚的,大的,大量的,丰厚的,愚蠢的 n. 脂肪,动植物油,精华,肥胖,过剩 vt. 使变胖 vi. 变胖
father|n. 父亲,鼻祖 vt. 作为父亲生育子女 vi. 像父亲般照顾
favourite|adj. 特别喜爱的 n. 特别喜爱的人(或物)
fax|n. 传真 v. 传真
feather|n. 羽毛,心情,种类,服饰 vt. 用羽毛装饰 vi. 长出羽毛
feature|n. 特征, 容貌 vt. 以...为特色 vi. 起重要作用
February|n. 二月
feed|vt.喂养； 满足（欲望等）； 向...提供； 供...作食物 vi.吃，以...为食； 流入，注入，进入（如油流入机器）； [电子学]馈入 n.饲料（尤指粗饲料），施肥； 喂送； 草料
feel|vt.感觉； 认为； 触摸； 试探 vt.& vi.感觉，觉得； 认为，以为； 触摸 n.感觉； 触摸； 感受； 触觉 vi.觉得； 摸索
festival|adj. 节日的,喜庆的,快乐的 n. 节日,庆祝及祭祀,欢宴
few|adj. 很少的,不多的,少数的 int. 少数的 adj. 少数的
field|n. 领域；牧场；旷野；战场；运动场 vi. 担任场外队员 adj. 扫描场；田赛的；野生的 vt. 把暴晒于场上；使上场；(通常成功地)回答，处理(问题)
fifteen|num. 十五 pron. 十五(个, 只...) adj. 十五的，十五个的
fifth|num. 第五 n.五分之一
fifty|num. 五十
fill|vt. 装满,填充,弥漫,担任 n. 足量
film|n. 电影, 胶卷, 薄膜 vt. 把...拍成电影, 给...覆上一薄层 vi. 从事电影拍摄
finally|adv. 最后, 最终
find|vt. &vi. 发现,感觉到,认为 n. 发现物
fine|n. 罚款,罚金,结尾 vt. 罚款 vi. 净化，细化 adj. 美好的, 优质的, 精致的，晴朗的, 健康的，纤细的，恭维的，辞藻华丽的 adv. 恰好地，合适地
