visit|v.拜访；参观；闲谈; n.拜访；参观；聊天
message|n.消息；信息；要点；寓意; v.传递信息；通讯
Mr|n.先生(Mister的缩写)
noodle|n.面条
operate|v.操作；运转；经营；动手术
metal|n.金属；合金；玻璃液; vt.(以金属)覆盖、装配
much|adj.许多的; adv.很；非常；几乎; n.许多
noon|n.正午；中午；全盛期；顶点
operation|n.操作；运转；经营；行动；手术；运算；生效；（复）运筹学
meter|n.公尺；米; n.计量器；计时器; vt.(用仪表)测量
museum|n.博物馆；展览馆
nor|conj.也不；也没有; adv.也不；也没有; abbr.诺曼人(=Norman); abbr.北方（=North）; abbr.挪威（=Norway）; abbr.挪威人（=Norwegian）
opinion|n.意见；主张；看法；判断
method|n.方法；条理; n.类函数；类成员函数（计算机）
music|n.音乐；美妙的声音；乐谱
normal|adj.正常的；正规的；精神健全的; n.常态；标准
opportunity|n.机会；时机
microwave|n.微波；微波炉; vt.用微波炉加热
musician|n.音乐家
north|adj.北方的；北的; adv.向北方; n.北方；北
opposite|adj.相反的；对面的；对立的; prep.在...对面；演对手戏; adv.在对面地；处于相反位置地; n.对立物；对立者；对手
middle|adj.中等的；中间的；中期的; n.中间; vt.放在中间；把...对折
must|aux.必须；应当；很可能; n.必须做的事；未发酵的葡萄汁；发霉
northern|adj.北部的；北方的；有北方特征的
or|conj.或者；还是；否则; prep.在...之前
lift|vt.举起；运送；偷窃；升高；还清；取消; vi.提升; n.举起；提升；电梯；搭便车；帮助；载货量；扒窃
know|v.了解；知道；认识; n.知情;
is|v.是（be的第三人称单数一般现在时）
light|n.光；光线；灯；打火机；领悟；浅色；天窗; adj.轻的；浅色的；明亮的；轻松的；容易的；清淡的; v.点燃；变亮；照亮; adv.清楚地；轻便地
idea|n.主意；想法；印象；意见；看法；观念；感觉；目标
island|n.岛；岛屿；岛状物
lighting|n.照明；照明设备；人工照明
labor|n.工人；劳工；工作；分娩；劳力; v.苦干；劳动；致力于；过分详尽阐述; adj.劳工的；劳动的
like|prep.像; conj.如同; adv.大概；和...一样; adj.相似的；同样的; v.喜欢；想；愿意; n.类似的人或物
ill|adj.坏的；有病的；恶意的；引起痛苦的; adv.恶劣地；勉强地; n.邪恶；不幸；祸害；坏话
laboratory|n.实验室
its|pron.（it的所有格)它的
line|n.线；界线；皱纹；路线；航线；行；台词；行业；绳子；家族; v.排队；画线；加衬里
illness|n.病；疾病
itself|pron.它自己
imagine|vt.想像；设想；料想；猜想；认为; vi.想像
lion|n.勇猛的人；狮子
lake|n.湖；湖泊; n.深红色；[化]色淀
jacket|n.短上衣；茄克衫；皮；护封；绝缘护套; vt.加外套；装封套
immediately|adv.立即；直接地; conj.一...(就)
list|n.目录；名单；明细表；条纹；倾斜；意向; v.列出；(使)倾斜；使高兴；愿意；听
lamb|n.小羊；羔羊肉；羔羊；温顺的人; vi.产羊羔
January|n.一月
impolite|adj.不礼貌的；粗鲁的
listen|v.听；倾听；听从；听信; n.听；倾听
lamp|n.灯；台灯；油灯；光源
japan|n.日本; japan; n.亮漆；漆器; v.用亮漆装饰；涂亮漆
importance|n.重要；重要性
little|adj.小的；幼小的；短的；微不足道的；少到几乎没有的; adv.甚少；毫不；难得; n.极少
land|n.陆地；国土；土地; v.靠岸；着陆；跌落地面；得到；使靠岸；使着陆
jazz|n.爵士乐；空话；各种杂物; vt.使有生气；以爵士风格演奏; vi.跳爵士舞；奏爵士乐；游荡
important|adj.重要的；重大的；（指人）有很大影响或权威的
live|v.活着；居住；过着; adj.活的；直播的；现场的；带电的；燃烧着的；当前的; adv.现场
language|n.语言；语言文字；表达方式
jeans|n.牛仔裤
impossible|adj.不可能的；做不到的
local|adj.地方性的；当地的；局部的; n.当地人
lap|n.膝部；（衣服的）下摆；控制范围; n.重叠部分；(跑道的)一圈; n.舐；（波浪）拍打声; v.包围；（使）重叠；领先一圈; v.舔食；轻拍
jew|n.犹太人；犹太教徒
impress|n.印记；印象；特征; v.使...有印象；影响；印刻；传送
lock|n.锁；水闸；一缕头发；一簇；一束; v.固定；锁(住)；抓牢；过闸
large|adj.大的；大量的；大号的；广泛的; adv.夸大地；[航海]顺风地; v.狂欢作乐
job|n.工作；职业；职位；(一项)任务；活儿；职责；犯罪行为；物件
London|n.伦敦
improve|vt.改善；改进；提高; vi.变得更好；改进
ast|abbr.大西洋标准时间(=AtlanticStandardTime)
join|v.连接；加入；参与；和...一起
lonely|adj.寂寞的，孤独的；荒凉的
in|prep.在...里；在...地方；在...期间；在...方面；进入...里面；处于...状态；穿着...；以...的方式; adv.在家；入；进；向里；在某地；并入；在某种关系中; adj.在里面的；新来的；执政的；时髦的; n.当权者；影响；达成目标的路径
late|adj.迟的；晚的；末期的；最近的；已故的; adv.晚；迟
joke|n.笑话；玩笑; v.说笑话；开玩笑
long|adj.长的；冗长的；久的；长音的; adv.长期地；久地；用于名词后强调某事发生在某整段时间; v.渴望; n.长时间；长音节；囤积商品者
include|vt.包括；包含；列入
later|adv.后来；稍后; adj.后来的；以后的；接近末期的
joy|n.欢乐；喜悦；乐趣；[大写]乔伊(女子名); v.高兴；喜悦
increase|v.增加；提高; n.增加；增强；提高
look|v.看；寻找；显得看起来；注视；面向; n.看；样子；脸色
latest|adj.最近的；最新的；最后的; n.最迟的时间；最新的潮流；最新消息; 形容词late的最高级形式.
juice|n.果汁；肉汁；消化液；汽油；精力; vt.挤出汁来；使有活力
lookout|n.瞭望台；瞭望员；注意；是某人自己的事；前景，前途
India|n.印度
laugh|v.发笑；笑；嘲笑; n.笑声；笑；笑料
July|n.七月
indoors|adv.在户内
lose|vt.丢失；失败；削减；丧生；看不到；亏损；迷失; vi.失败；经受损失；走慢
law|n.法律；法规；准则；起诉; v.起诉；打官司
jump|n.跳跃；跳动；上涨; v.跳越；暴涨
lost|adj.迷路的；丢失的；错过的；失败的；不知所措的；摧毁的；被杀死的；忘我的；不能理解的; 动词lose的过去式和过去分词形式
industry|n.工业；产业；行业；勤勉；勤劳
lay|lie的过去式.; v.放置；躺下；打赌；设计；击倒；产卵；使平静；压平; n.地形；位置；叙事短诗；交媾; adj.外行的；世俗的
June|n.六月; n.琼(女子名)
infinitive|n.不定式
lot|n.许多；大量；抽签；签；命运；一块地；拍卖品；一类或一些(人或物)；批；套；份儿; adv.很；非常; v.划分；分配
lazy|adj.懒惰的；懒散的
jungle|adj.丛林的；垃圾的; n.丛林；密林
influence|v.影响；感染；在(饮料)中加烈酒; n.影响力；影响；权势；势力；有影响的人(或事物)
loud|adj.大声的；吵闹的；引人注目的; adv.大声地；响亮地
lead|v.引导；领先；带领；过...(的生活)；导致; n.领头位置；主角；榜样；引言；铅
junk|n.垃圾；废旧杂物；中国平底帆船; vt.丢弃
information|n.信息；情报；资料；通知
love|v.爱；热爱；喜欢; n.爱；热爱；爱情；恋爱；喜爱；情人；(网球)零分
eat|v.吃；吃饭；喝
just|adv.刚才；仅仅；正好；正是；简直; adj.公平的；公正的；适当的；精确的
injure|vt.伤害；损害；损伤
loving|adj.亲爱的；钟情的；忠诚的; 动词love的现在分词.
learn|v.学会；学习；得知
kangaroo|n.袋鼠
nk|abbr.自然杀伤(=naturalkiller)
low|adj.低的；少的；低落的；低声的；卑劣的；低等的; adv.低地；低声地；低下地；廉价地; n.低水平；低价；低谷; v.哞哞叫
least|adj.最小的；最少的; adv.最小地；最少地；最轻微地; n.最小；最少
keen|adj.敏锐的；强烈的；锋利的；热衷的；精明的
insect|n.昆虫；虫子；卑微的人
leave|v.委托；离开；留给；遗留；遗赠；听任; n.许可；准假；告别; vi.生出叶子
keep|v.保持；保留；继续；贮藏；经营；遵守；供给；照管；饲养；耽搁；保持食物不变质；健康状况如何；保守（秘密@）；记录；遵守；保护; n.生计；保存；城堡主楼；监狱；围墙
inside|adj.里面的; adv.在里面; n.内部; prep.在...里面
lunch|n.午餐; v.吃(午餐)；提供(午餐)
left|adj.左边的; adv.向左; n.左边；左派分子；【体】左手拳; 动词leave的过去式和过去分词形式.
key|n.键；关键；钥匙；答案; adj.关键的；主要的; vt.键入；用钥匙锁上；为...调音
insist|vt.坚持；坚决主张; vi.坚持；强调
machine|n.机器；做事效率高的人；工具；车辆; v.以机器制造
kick|v.踢；反冲; n.踢；反冲；后座力
instance|n.例子；场合；情况；要求；诉讼程序; vt.举例说明
mad|adj.发疯的，发狂似的；狂热的；鲁莽的；着迷的；生气的；极度激动的
legend|n.传说；传奇；图例
kid|n.小孩；年轻人；小山羊；小山羊皮制品; vi.(山羊等)下崽；捉弄; vt.开玩笑；哄骗；嘲弄; adj.较年幼的
madam|n.夫人；女士；太太
instead|adv.代替；反而
lend|v.借给；贷款；借(出)
instruction|n.指令；教学；教诲；说明
magazine|n.杂志；弹盘；弹药库
less|adj.更少的；较少的; adv.更少地；较少地; n.少量；次要; prep.减
kilo|pref.表示“千”; abbr.千克；公斤(=kilogram/kilogramme)
instrument|n.仪器；乐器；工具；器械; v.用器械（或仪器）装备；向…提交文书
magic|n.魔法；魔术；魔力; adj.有魔力的；魔术的；奇妙的
lesson|n.教训；课，功课，课业；榜样，典范; vt.教训，告诫，训斥；给...上课
kilometer|n.=kilometre公里；千米(略作km)
interest|n.兴趣；嗜好；利息；股份; v.使…感兴趣
mall|n.商业街；购物中心；林荫大道
let|v.让；允许；(用于祈使句表建议、请求、命令)让；假设；出租; n.出租；阻碍；(网球等)触网重发
kind|adj.亲切的；善良的；仁慈的；宽容的; n.种类；本质
international|adj.国际的；世界性的; n.国际比赛
main|adj.主要的；最重要的; n.干线；总管道；[pl](水、煤、电)供应系统；大海
letter|n.信；字母; v.写下；印刷; n.租赁人
king|n.国王；（纸牌）老K; adj.王的；重要的；基本的; v.成为国王; King.; n.金（姓氏）；上帝；耶稣
internet|n.因特网
major|adj.较多的；主要的；严重的；(音乐)大调的; n.成年人；主修（科目）；陆军少校；举足轻重者; v.主修
level|n.数量；等级；水平；水平线; adj.平的；等高的; v.弄平；夷平；对准; adv.水平地
interview|n.面谈；会见；面试；接见; vt.接见；采访；对...进行面试; vi.面试；采访
make|v.做；制造；使得；赚（钱）；成功；达成; n.性格；式样；制造；生产量
library|n.图书馆；藏书；书房
kitchen|n.厨房；灶间；(全套)炊具
into|prep.到...里；进入；朝；除；对...有兴趣
license|n.许可证；执照；特许; vt.发许可证给；特许
kite|n.风筝；鸢; n.空头支票; v.用空头支票骗人；使上升
introduce|vt.介绍；引进；采用；提出；提倡；放入
man|n.男人；人；男子汉；情人；强者；下属; v.使...振奋；为...配备人手
LE|_ARPLAN仿真地址转换协议
invent|vt.发明；捏造
manage|v.管理；经营；做成；设法对付；提供；有空
life|n.一生；生命；生活；人生
invite|vt.邀请；请求；招致；招待
manner|n.举止；礼貌；方式；习俗
lifestyle|n.生活方式
knock|v.敲击；互撞；攻击; n.敲；敲门；敲打
iron|n.熨斗；铁；刚强; (复）irons:镣铐.; v.熨；烫; adj.铁的；刚强的
hall|n.大厅；礼堂
him|pron.他(he的宾格)
globe|n.地球；地球仪；球体；世界
fourteen|num.十四
hallway|n.过道；门厅；走廊
himself|pron.他自己
glove|n.手套; vt.给...戴手套
ham|n.火腿；（动物）后腿; v.表演过火；演技夸张
his|adj.他的; pron.他的
glue|n.胶；胶水；胶粘物; vt.粘贴；紧附于
fourth|n.第四；四分之一；第四音阶；第四档
hamburger|n.汉堡包
hit|vi.打（击）；袭击；达到; vt.要求；打（击）；碰撞；偶然发现；符合; n.讽刺；打（击）；冲撞；成功
go|v.去；离开；变得；进行; n.去；尝试；精力；一举
fox|n.狐狸；狡猾的人；迷人的时髦女郎; vt.欺骗；迷惑
hand|n.手；协助；手艺; v.给；传; Hand.; n.汉德（英文姓）
hobby|n.业余爱好
goat|n.山羊；色鬼；替罪羊
France|n.法国
handbag|n.手提包
hold|v.拿着；控制；容纳；握住；持有；保持；掌握；认为；举行; n.握住；控制；把握；立足点；延误；影响
god|n.神；偶像；(复数)剧院顶层楼座的观众；(大写)上帝; int.天呐
free|adj.自由的；免费的；畅通的；没有…的；未使用的；空闲的；随意的; v.释放；使自由；使摆脱；解除；使可用于(某目的); adv.免费地；自由地
handsome|adj.可观的；英俊的；慷慨大方的；灵巧的
hole|n.洞；孔；穴；漏洞；困境; v.挖洞；掘坑；进洞
gold|adj.金色的；金制的; n.金币；金黄色；金牌；金子
freeze|v.冻结；冷冻；僵硬；凝固; n.严寒；冻结
hang|v.悬挂；(使)低垂；悬浮(在空中)；逗留；绞死; n.悬挂方式；悬挂；绞刑
holiday|n.假日；节日
golden|adj.金的；金色的；珍贵的；黄金般的；绝佳的
French|n.法国人；法语; adj.法国人的；法国的；法语的; french.; vt.(从骨头)剔肉；切成细条
happen|vi.发生；碰巧；出现；偶遇
home|n.家；家庭；收容所；栖息地；发源地; adv.在家；回家；在国内；回国；正中目标; adj.家用的；国内的；总部的；（比赛）主场的; v.提供住处；朝向
good|adj.好的；上等的；优秀的; n.好处；善行; (复)goods：商品；货物.
fresh|adj.新鲜的；清新的；新近的；无经验的; adv.最近地
happy|adj.高兴的；幸福的；幸运的；乐意的
homeland|n.祖国
goodbye|int.再见; n.说再见
Friday|n.星期五
homeless|adj.无家可归的
hard|adj.硬的；困难的；棘手的；坚强的；残酷的；用力的；液态的；严寒的；确凿的; adv.努力地；强烈地；严重地；坚定地
government|n.政府；政体；统治
fridge|n.电冰箱
hometown|n.家乡；故乡
hardly|adv.几乎不；简直不；刚刚
grade|n.等级；年级；成绩；斜坡; v.分级；评分；渐次变化
friend|n.朋友；支持者；友人; vt.与...为友
hat|n.帽子; vt.给...戴帽子; vi.提供帽子；制造帽子
homework|n.家庭作业
graduate|n.毕业生; vt.毕业；标以刻度；定等级; vi.毕业；获学位；逐渐变得; adj.毕业的；获得学位的
friendship|n.友谊；友好
honest|adj.诚实的；正直的；坦率的
hate|v.憎恨；厌恶；讨厌; n.憎恨；厌恶
grammar|n.语法；文法
frog|n.蛙；嗓音沙哑；马的蹄叉；刀剑的挂环
honey|n.蜂蜜；甜蜜；宝贝; v.说甜言蜜语；（加蜜）使甜; adj.甜蜜的；亲爱的
have|aux.已经; vt.有；吃；得到；从事；允许；雇用；享有; n.[常用复数]富人，有产者，有钱人；富国
honor|n.荣誉；荣幸；尊敬；信用；正直；贞洁; vt.尊敬；使荣幸；对...表示敬意；兑现
he|pron.他；任何人; n.男人；雄性动物
grape|n.葡萄；葡萄树；深紫色；[军]葡萄弹
front|n.正面；前面；前线；【气象学】锋; vt.朝向；面对；对付; vi.面朝；掩护; adj.前面的
hope|v.希望；期望；盼望; n.希望
head|n.头部；头脑；顶端；领袖；硬币的正面; v.前进；为首；朝向; adj.首要的；前面的
grass|n.草；草地; vt.喂(草)；(以草)覆盖；告发
fruit|n.果实；成果；水果; v.结果实
horse|n.马; vt.骑马; adj.马的
headache|n.头痛
gray|adj.灰色的；暗淡的; n.灰色；暗淡; v.变灰色；使...变灰色; Gray; n.格雷(男子名)
frustrate|vt.挫败；击败；使沮丧；使灰心; adj.无益的；挫败的；挫折的
hospital|n.医院
health|n.健康；医疗保健
great|adj.很好的；美好的；伟大的；重要的；大量的; adv.(口语)好极了
fry|v.油煎；油炸; n.法式炸薯条
host|n.主人；主持人；主办方；大量；寄主；主机; v.主办；主持；做东
hear|v.得知；倾听；听到；听证
full|adj.满的；充满的；完全的; n.全部；极点; adv.非常；直接地; vt.使衣服宽松；增厚
heart|n.心；内心；中心；要点；红桃; v.将…记在心里，铭记；鼓励
greet|vt.迎接；问候；致敬；作出反应
fun|n.乐趣；玩笑; adj.有趣的
hotel|n.旅馆；饭店；宾馆；酒店
funny|adj.可笑的；有趣的；滑稽的；奇怪的；非法的
around|prep.到处；在...附近；围绕；大约；符合; adv.到处；在周围；现有；闲散地；转弯；掉头; adj.存在的；在风行的
heat|n.热度；热；热烈；激烈；发烧; v.(使)变热；(使)激动
hour|n.小时；钟点
furniture|n.家具；设备，装置；床罩；必要的附属品；【会计】家俬
heaven|n.天空；天堂; Heaven.; n.上帝
group|n.群；组；团体；集团; v.聚合；成群、组；把...聚集；把...分类
house|n.房屋；住一屋的人；机构；议院；观众；听众；黄道十二宫之一; v.给…房子住；储存(某物)；容纳；藏有
furry|adj.毛皮的；盖着毛皮的；似毛皮的；有舌苔的；沙哑的
grow|v.增加；生长；变成；种植；逐渐开始
heavy|adj.大(量)的；重的；沉重的；猛烈的
future|adj.将来的; n.将来；前程；期货
housework|n.家务劳动
guard|v.看守；守卫；保卫；提防; n.警戒；哨兵；防护装置；警卫；【体】后卫
heel|n.脚后跟; v.倾侧
height|n.高度；高处；顶点
gallery|n.美术馆；画廊；顶层楼座；走廊
how|adv.怎样；多么；如何; conj.如何；怎样；以...方式; n.方式
guess|v.推测；猜中；以为; n.猜测；猜想
however|adv.然而；无论如何；不管多么; conj.不管怎样
helicopter|n.直升飞机; vt.用直升飞机载送; vi.乘直升机
guest|n.客人；宾客；特别来宾；[动植物]寄生生物; v.做特邀嘉宾；做特约演员；客串；招待；做客
hello|int.(打招呼)喂；你好
huge|adj.巨大的；庞大的；极大的
guide|n.向导；导游；指南；指导者; vt.指导；引导；为...领路; vi.作导游
garage|n.汽车修理厂；车库; vt.把...放入车库
hum|n.嗡嗡声；哼声；杂声; v.发低哼声；哼(曲子)；活跃; int.哼；嗯（用以表示犹豫）
help|v.帮助；有助于；促进；擅自拿取；（不）能防止或避免某事物; n.帮助；援助；帮手；佣人；仆人; int.救命！
guidebook|n.旅行指南；参考手册
gate|n.大门；登机门；出入口；门票收入；道路；方式; v.惩罚(禁止学生离校)；解雇; suf.常表示政治丑闻
guilty|adj.有罪的；内疚的
general|adj.普遍的；全面的；一般性的；大致的；笼统的；常规的；总的；首席的; n.将军；一般
helpful|adj.有帮助的；有用的
human|adj.人的；人类的；有人性的；人本性的; n.人；人类
gentle|adj.温和的；轻柔的；温顺的；文雅的；出身名门的
gum|n.牙床；树胶；齿龈；粘性物质; v.搞砸；用牙床嚼；以树胶粘合
humorous|adj.幽默的；诙谐的
hen|n.母鸡；雌禽
gentleman|n.绅士；先生；有教养的人
hundred|num.百; n.一百元; （复）hundreds:成百上千；许多.
gun|n.枪；炮；节流阀; vt.枪击；打开节流阀; vi.用枪打猎
her|pron.她(宾格); adj.她的; abbr.纹章术；纹章学(=heraldry)
get|v.得到；使得；抓住；克服；明白；激怒；患（病）；达到; n.生育；后代；救球
guy|n.家伙；(男)人; n.拉索；牵索; vt.嘲笑
hunger|n.饥饿；渴望; v.饿；渴望；使...饥饿
here|adv.这里；这时；在这点上; n.这里; int.嘿；喂（用于引起注意）
gift|n.礼物；赠品; n.天赋；才能; vt.赋予；赠送
gym|n.体育馆；健身房；体育课
hero|n.英雄; n.男主角；男主人公
hungry|adj.饥饿的；渴望的
girl|n.女孩；少女；姑娘；女儿；女职员；女朋友；老婆；老母亲；老妇人; adj.女的；女孩的；雌性的
habit|n.习惯；习性
hurry|v.匆忙；催促；赶紧; n.匆忙；仓促；急忙
hers|pron.她的（she的物主代词）
girlfriend|n.女朋友；女性朋友
habitat|n.栖息地；产地
hurt|vt.损害；伤害；使疼痛; vi.疼痛；造成损失; n.创伤；伤害；打击
hey|int.嗨
give|v.给；赠予；送；捐助；提供；供给；举行；弯曲; n.弹性
hair|n.头发；毛发；极少量
husband|n.丈夫
hide|v.藏；隐瞒；遮避; vt.鞭打; n.兽皮
glad|adj.高兴的；乐意的; v.使高兴; n.剑兰
haircut|n.理发；发式
high|adj.高的；高尚的；高级的；高度的；全盛的; adv.高；奢侈地；音调高; n.高水平；高气压；（麻醉品带来的）快感
glass|n.玻璃；玻璃杯；玻璃制品; vt.镶玻璃; （复）glasses:眼镜.
half|n.一半；下半场；半学年; adj.一半的；不完全的; adv.一半地；不完全地
hill|n.小山；丘陵；山冈；斜坡; vt.堆起；培土
ice|n.冰；糖霜；冰淇淋；冷淡；钻石; v.用冰裹；冰镇；结冰；制冷；涂糖霜
film|n.电影；薄膜；胶卷; vt.把...拍成电影；给...覆上一薄层；拍照片; vi.变朦胧；拍摄电影
enough|adj.足够的; adv.足够地；充分地；相当；尚; pron.足够
express|n.快车；快递；专使; adj.明确的；急速的；直接的; adv.用快递; vt.表达；表示；挤压出；快递
ear|n.听觉；耳朵；倾听; n.麦穗; vi.抽穗
final|adj.最终的；最后的；决定性的；不可改变的; n.决赛；大学毕业考试；期终考试
extra|adj.额外的; n.额外之物；临时演员; adv.特别地
enter|v.进入; 【计算机】送入
early|adv.早; adj.早
find|v.发现；找到；认为；觉得；感到；裁决；判定; n.发现
eye|n.眼睛；目光；视力；观点；鉴赏力; v.看；注视；审视
entertainment|n.娱乐
earth|n.地球；泥土；世间
fine|adj.好的；优质的；精致的；晴朗的；健康的；细微的; adv.合适地；恰好地; n.罚款；罚金；结尾; v.罚款；优化；净化；细化
face|n.表面；脸；表情; v.面对；面向；朝
envelope|n.信封；壳层；封袋
earthquake|n.地震
finger|n.指针；手指（尤指大拇指以外的手指）; v.触碰；用指抚摸
fact|n.事实；真相；实际
environment|n.环境；外界
easily|adv.容易地；无疑地；很可能地
fail|vi.失败；没做成某事；表现欠佳；用完；衰退; vt.辜负；放弃；缺少；不及格; n.不及格；没做成
equipment|n.设备；装备；器材
east|adj.东方的; adv.向东方; n.东方；东部
fire|n.火；失火；炉火；开火；热情; v.开火；解雇；点燃；急速地连续说
fair|adj.公平的；晴朗的；美丽的;相当的；（皮肤、毛发等）浅色的；白皙的; n.展览会；市集; adv.公平地，直接地
eraser|n.橡皮擦；擦除器
eastern|adj.东部的；东方的
firm|n.公司；商行; adj.坚定的；结实的；坚固的；严格的; v.(使)变得坚实；确定; adv.稳固地；坚定地
fall|v.落下；倒下；来临; n.秋天；落下；瀑布
escalator|n.自动扶梯
easy|adj.容易的；轻松的；不费力的；舒适的；安逸的；轻微的；随和的；无约束的
first|adj.第一的；最初的; adv.首先；第一; n.最初；(序数词)第一
family|n.家庭；亲属；家族；子女；[生]科；语族；[化]族; adj.家庭的；家族的；适合于全家的
escape|v.逃跑；逃脱；逃避；被忘掉；泄露；去度假; n.逃跑；逃脱；逃避；泄露；度假；[计算机]退出键
fish|n.鱼；鱼肉；笨蛋；新手；新囚犯; v.钓鱼；捕鱼；摸索；搜寻
famous|adj.著名的；有名的
especially|adv.特别；尤其
edge|n.边缘；优势；边；刀口; vt.给...加上边；缓慢横过；使锋利; vi.徐徐前进
fan|n.风扇；扇子；扇形物; n.迷；狂热爱好者; vt.扇；展开扇形；煽动; vi.成扇形；[棒]三振出局
essay|n.论文；短评；散文；试图; vt.尝试
educate|v.教育；培养；训练
five|num.五
fantastic|adj.极好的；巨大的；奇异的；难以置信的；幻想的
establish|v.建立；确立；创办；安顿
effort|n.努力；努力的成果
fix|v.使...固定；修理，处理，解决；确定；准备；操纵; n.困境；(船只、飞机等的)定方位；贿赂；（暂时的）解决方法；理解
far|adv.远；(时间)久远；很；非常；远远；进展程度; adj.较远的；最远的；远方的; n.远方
etiquette|n.礼仪；礼节；规矩
egg|n.蛋；卵；蛋形物; vt.用蛋覆盖；向...扔蛋; vt.怂恿；煽动
flag|n.旗；旗帜；信号旗; vt.(以旗子)标出; v.无力地下垂；减退；枯萎
farm|n.农场；农田; v.务农
Europe|n.欧洲；欧盟
eight|num.八; n.八人划船队; adj.八个的
flat|adj.平坦的；扁平的；单调的；断然的；[音乐]降音的；气不足的; adv.平直地；直截了当；低于标准音高地; n.公寓；平面部分；[音乐]降半音；泄气轮胎; v.变平；降调；住公寓
farmer|n.农夫；农民；农场主
European|adj.欧洲的；欧洲人的; n.欧洲人
eighteen|num.十八
flee|vi.逃走；消失；逃避；(时间)飞逝; vt.逃离
fashion|n.时尚；风格；样子; vt.形成；塑造
even|adj.平坦的；平和的；偶数的；相等的; adv.甚至；正当；更；恰好; v.使平坦；相等
eighteenth|num.第十八；十八分之一
fight|n.战斗；打架；斗志; vt.打架；对抗; vi.奋斗；斗争；争吵
fast|adj.快的；迅速的；紧的；牢固的；放荡的; adv.快速地；紧紧地；放荡地；深深地; n.斋戒；禁食；系泊用具; v.斋戒；禁食
evening|n.晚上；傍晚；晚会
eighth|n.八分之一; num.第八
floor|n.地面；地板；楼层；底部; vt.铺地板；击倒；(油门)踩到底
fat|adj.肥胖的；多脂肪的；丰满的; n.脂肪；肥肉; vt.使变胖
ever|adv.曾经；在任何时候；究竟；一直；永远
eighty|num.八十
flower|n.花；开花植物；精华；盛时; v.开花；成熟；用花装饰
father|n.父亲；神父；祖先；创始人; v.创造；当...的父亲
every|adj.每个；一切的；所有可能的；每隔；最大的
either|adj.任一的；两方的; pron.任一; adv.也（用于否定句中）; conj.或者（常用于either...or...的结构中）
flu|n.流行性感冒
favorite|adj.喜爱的；流行的; n.最喜爱的人或物；最有希望获胜的选手
everybody|pron.每人；人人；各人
elbow|n.手肘；扶手；急弯; v.用手肘推开；推挤
fly|v.飞；坐飞机；驾驶；逃跑；悬挂; n.苍蝇；飞行；两翼昆虫
fax|n.传真; v.传真
everyday|adj.日常的；平常的
elder|adj.年龄较大的；年长的; n.长者；长辈；[植]接骨木
fold|vt.包；折叠；交叉；拥抱; vi.翻倍；屈服；倒闭; n.折层；折痕
tear|vt.撕掉；扯下；扰乱; vi.流泪；撕破; n.眼泪；（撕破的）洞或裂缝；撕扯
everyone|pron.每人；人人
electric|adj.电的；电动的；带电的；刺激的; n.电动产品
follow|v.跟随；追赶；紧接着；注意；遵循；沿着；明白
feature|n.特征；特色；容貌；特写；故事片; vt.以...为特色; vi.起重要作用
everything|pron.一切；所有事物；形势；情况；最重要的东西
elementary|adj.基本的；初级的；元素的
food|n.食物；食品
February|n.二月
everywhere|adv.到处，处处；无论何处
elephant|n.大象；庞大笨拙难处理的事物
fool|n.傻瓜；小丑；奶油果蓉; v.愚弄；欺骗；开玩笑；干蠢事；玩弄；鬼混
exam|n.考试
elevator|n.电梯；飞机升降舵；斗式皮带输送机
foot|n.脚；英尺；最底部；音步; v.表演舞步；步行；付账；踏；共计
feel|v.感觉；觉得；触摸；摸起来；认为；摸索; n.感觉；触觉
examine|vt.检查；调查；考试；仔细观察; vi.检查；调查
eleven|n.十一；十一个一组; adj.十一的; pron.十一个
football|n.足球；橄榄球
fence|n.栅栏；围墙；买卖赃物的人; v.用篱笆围住；束缚；击剑；回避
example|n.例子；榜样；举例；警告; vt.作为...的示范
eleventh|n.第十一; adj.第十一的；十一分之一的
for|prep.为；因为；代表；往；支持；关于；给; conj.因为
festival|adj.节日的；喜庆的; n.节日；欢宴；庆祝及祭祀
excellent|adj.杰出的；优秀的；极好的
else|adv.其他；此外；(常与or连用)否则、不然
forbid|vt.禁止；阻止；不许
fetch|vt.取来；卖得；给（某人）一击; n.取得
except|prep.除了...之外; conj.除非；除了...之外；若不是; vt.除；除外
force|n.武力；暴力；力量；影响力；力量大的人或（事物）；权力；（为某目的组织起来的）一群人；军队；部队；武装力量；警察部门；力；风力; v.迫使；强迫；强制；使发生；强装（欢笑）；人工催长
fever|n.狂热；发烧；发热; v.（使）发烧；（使）狂热
exchange|v.交换；兑换; n.交换；交易所；兑换；交战
emotion|n.情感；感情；情绪
foreign|adj.外来的；外国的；异质的；不相符的
few|adj.很少的；少数的；几个; pron.少数; n.少量
excite|vt.使兴奋；使激动；刺激；激起
empty|adj.空的；空洞的；空虚的；空腹的; v.倒空；变空；排空; n.空物
fiction|n.小说；虚构；杜撰
forest|n.森林；林火; vt.(用树林)覆盖；置于(树林中)
excuse|vt.原谅；辩解; n.理由；辩解；借口
encourage|vt.鼓励；促进；支持
forget|v.忘记；忽略
field|n.田地；领域；运动场；场地；田野；JAVA中的范畴; vt.接球；派……上场；顺利处理; vi.担任外场员; adj.田间的；野外的
end|n.结束；末端；目标；死亡；部分；终点站；端点；半边球场；剩余物，残余；过世; v.终止，结束
